username,repo_name,stars,repo_url
metafizzy,infinite-scroll,7100,https://github.com/metafizzy/infinite-scroll
ljianshu,Blog,7000,https://github.com/ljianshu/Blog
developit,unfetch,5300,https://github.com/developit/unfetch
jquery-form,form,5100,https://github.com/jquery-form/form
olifolkerd,tabulator,4500,https://github.com/olifolkerd/tabulator
Studio-42,elFinder,4200,https://github.com/Studio-42/elFinder
ded,reqwest,2900,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2400,https://github.com/elbywan/wretch
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
noelboss,featherlight,2100,https://github.com/noelboss/featherlight
wendux,Ajax-hook,2000,https://github.com/wendux/Ajax-hook
yisainan,web-interview,2000,https://github.com/yisainan/web-interview
craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1600,https://github.com/ptaoussanis/sente
joaomilho,Enterprise,1500,https://github.com/joaomilho/Enterprise
nette,tracy,1500,https://github.com/nette/tracy
u014427391,jeeplatform,1400,https://github.com/u014427391/jeeplatform
loadingio,css-spinner,1300,https://github.com/loadingio/css-spinner
MoOx,pjax,1300,https://github.com/MoOx/pjax
codingforentrepreneurs,eCommerce,1200,https://github.com/codingforentrepreneurs/eCommerce
danielm,uploader,1100,https://github.com/danielm/uploader
renderedtext,render_async,1000,https://github.com/renderedtext/render_async
swlib,saber,951,https://github.com/swlib/saber
k8w,tsrpc,884,https://github.com/k8w/tsrpc
proyecto26,RestClient,899,https://github.com/proyecto26/RestClient
webcreate,infinite-ajax-scroll,853,https://github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,849,https://github.com/opensource-socialnetwork/opensource-socialnetwork
rapidjs,rapid.js,707,https://github.com/rapidjs/rapid.js
csxiaoyaojianxian,JavaScriptStudy,604,https://github.com/csxiaoyaojianxian/JavaScriptStudy
