username,repo_name,stars,repo_url
atom,atom,57300,https://github.com/atom/atom
themerdev,themer,4600,https://github.com/themerdev/themer
nteract,hydrogen,3800,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3600,https://github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,3500,https://github.com/miniflux/v2
atom,teletype,2400,https://github.com/atom/teletype
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
mmcdole,gofeed,1900,https://github.com/mmcdole/gofeed
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1400,https://github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
kurtmckee,feedparser,1400,https://github.com/kurtmckee/feedparser
ocaml,merlin,1400,https://github.com/ocaml/merlin
MagicStack,MagicPython,1300,https://github.com/MagicStack/MagicPython
atom,apm,1200,https://github.com/atom/apm
file-icons,atom,1200,https://github.com/file-icons/atom
kettanaito,atomic-layout,1100,https://github.com/kettanaito/atomic-layout
atom,github,1000,https://github.com/atom/github
nmdias,FeedKit,975,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,955,https://github.com/nathanbuchar/atom-one-dark-terminal
danhper,atomic-chrome,927,https://github.com/danhper/atomic-chrome
fwcd,kotlin-language-server,903,https://github.com/fwcd/kotlin-language-server
jesseweed,seti-ui,892,https://github.com/jesseweed/seti-ui
prettier,prettier-atom,773,https://github.com/prettier/prettier-atom
jpmonette,feed,752,https://github.com/jpmonette/feed
raphamorim,lucario,746,https://github.com/raphamorim/lucario
atom-community,atom-script,735,https://github.com/atom-community/atom-script
jasonmunro,cypht,710,https://github.com/jasonmunro/cypht
jekyll,jekyll-feed,700,https://github.com/jekyll/jekyll-feed
