username,repo_name,stars,repo_url
electron,electron,101000,https://github.com/electron/electron
microsoft,playwright,36500,https://github.com/microsoft/playwright
FiloSottile,mkcert,34600,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,24700,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,21900,https://github.com/ovity/octotree
segmentio,nightmare,19100,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,18400,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,14000,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
google,WebFundamentals,13100,https://github.com/google/WebFundamentals
casesandberg,react-color,10600,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,9800,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,9000,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8100,https://github.com/gildas-lormeau/SingleFile
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
MetaMask,metamask-extension,7700,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,7500,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6600,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6100,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,5800,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5200,https://github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,4900,https://github.com/MontFerret/ferret
themerdev,themer,4600,https://github.com/themerdev/themer
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
ajayyy,SponsorBlock,4600,https://github.com/ajayyy/SponsorBlock
burtonator,polar-bookshelf,4400,https://github.com/burtonator/polar-bookshelf
moonD4rk,HackBrowserData,4400,https://github.com/moonD4rk/HackBrowserData
browserless,chrome,4400,https://github.com/browserless/chrome
nieweidong,fetool,4300,https://github.com/nieweidong/fetool
alyssaxuu,omni,4400,https://github.com/alyssaxuu/omni
