username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,24700,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,refined-github,17600,https://github.com/refined-github/refined-github
checkly,headless-recorder,14000,https://github.com/checkly/headless-recorder
darkreader,darkreader,13600,https://github.com/darkreader/darkreader
unbug,codelf,12500,https://github.com/unbug/codelf
crimx,ext-saladict,9000,https://github.com/crimx/ext-saladict
Anarios,return-youtube-dislike,8800,https://github.com/Anarios/return-youtube-dislike
listen1,listen1_chrome_extension,8300,https://github.com/listen1/listen1_chrome_extension
gildas-lormeau,SingleFile,8100,https://github.com/gildas-lormeau/SingleFile
appbaseio,dejavu,7700,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,7000,https://github.com/alyssaxuu/screenity
dailydotdev,daily,6400,https://github.com/dailydotdev/daily
Kenshin,simpread,5800,https://github.com/Kenshin/simpread
manojVivek,medium-unlimited,4700,https://github.com/manojVivek/medium-unlimited
dessant,buster,4700,https://github.com/dessant/buster
ajayyy,SponsorBlock,4600,https://github.com/ajayyy/SponsorBlock
alyssaxuu,omni,4400,https://github.com/alyssaxuu/omni
Kholid060,automa,4100,https://github.com/Kholid060/automa
altair-graphql,altair,4100,https://github.com/altair-graphql/altair
webclipper,web-clipper,4100,https://github.com/webclipper/web-clipper
zxlie,FeHelper,4000,https://github.com/zxlie/FeHelper
openstyles,stylus,3800,https://github.com/openstyles/stylus
bilibili-helper,bilibili-helper-o,3800,https://github.com/bilibili-helper/bilibili-helper-o
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
hcfyapp,crx-selection-translate,3700,https://github.com/hcfyapp/crx-selection-translate
KartikTalwar,gmail.js,3500,https://github.com/KartikTalwar/gmail.js
honestbleeps,Reddit-Enhancement-Suite,3400,https://github.com/honestbleeps/Reddit-Enhancement-Suite
WorldBrain,Memex,3400,https://github.com/WorldBrain/Memex
vinta,pangu.js,3400,https://github.com/vinta/pangu.js
ronggang,PT-Plugin-Plus,3300,https://github.com/ronggang/PT-Plugin-Plus
